date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:25	66708/66708	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-10494%22	https://rsms.me/inter/font-files/Inter-italic.latin-ext.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.latin-ext.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:25	56108/56108	---M--	200	added ('OK')	font/woff2	etag:%225f405368-db2c%22	https://rsms.me/inter/font-files/Inter-italic.latin.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.latin.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:25	30660/30660	---M--	200	added ('OK')	font/woff2	etag:%225f453f00-77c4%22	https://rsms.me/inter/font-files/Inter-roman.extra.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.extra.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:26	30660/30660	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-77c4%22	https://rsms.me/inter/font-files/Inter-roman.alternates.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.alternates.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:26	18340/18340	---M--	200	added ('OK')	font/woff2	etag:%225f405368-47a4%22	https://rsms.me/inter/font-files/Inter-roman.symbols.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.symbols.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:26	35208/35208	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-8988%22	https://rsms.me/inter/font-files/Inter-roman.cyrillic.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.cyrillic.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:26	29580/29580	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-738c%22	https://rsms.me/inter/font-files/Inter-roman.greek.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.greek.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:27	9416/9416	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-24c8%22	https://rsms.me/inter/font-files/Inter-roman.vietnamese.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.vietnamese.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:27	62604/62604	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-f48c%22	https://rsms.me/inter/font-files/Inter-roman.latin-ext.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.latin-ext.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:27	51896/51896	---M--	200	added ('OK')	font/woff2	etag:%225f405368-cab8%22	https://rsms.me/inter/font-files/Inter-roman.latin.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-roman.latin.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:28	46292/46292	---M--	200	added ('OK')	font/woff2	etag:%225f453f00-b4d4%22	https://rsms.me/inter/font-files/Inter.extra.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.extra.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:28	46292/46292	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-b4d4%22	https://rsms.me/inter/font-files/Inter.alternates.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.alternates.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:28	28320/28320	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-6ea0%22	https://rsms.me/inter/font-files/Inter.symbols.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.symbols.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:28	50696/50696	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-c608%22	https://rsms.me/inter/font-files/Inter.cyrillic.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.cyrillic.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:28	42320/42320	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-a550%22	https://rsms.me/inter/font-files/Inter.greek.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.greek.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:29	12828/12828	---M--	200	added ('OK')	font/woff2	etag:%225f453f00-321c%22	https://rsms.me/inter/font-files/Inter.vietnamese.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.vietnamese.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:29	89780/89780	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-15eb4%22	https://rsms.me/inter/font-files/Inter.latin-ext.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter.latin-ext.var57a3.woff2	(from https://rsms.me/inter/inter.css)
